url,date
https://www.thedrive.com/the-war-zone/31629/congress-pushes-back-on-stunning-navy-plan-to-cut-destroyers-cruisers-subs-and-more,2019-12-26
https://www.thedrive.com/the-war-zone/31521/navy-confirms-boat-swarm-seen-alongside-carrier-group-in-this-satellite-image-was-iranian,2019-12-27
https://www.thedrive.com/the-war-zone/31683/happy-new-year-and-thank-you,2019-12-31
https://www.thedrive.com/the-war-zone/31712/night-stalker-chinook-special-operations-helicopters-have-new-laser-countermeasures-system,2020-01-04
https://www.thedrive.com/the-war-zone/31660/bizarre-airstrip-is-being-built-right-between-apartment-towers-near-libyan-capital,2019-12-30
https://www.thedrive.com/the-war-zone/31703/new-details-about-strike-on-top-iranian-commander-emerge-as-americans-are-told-to-flee-iraq,2020-01-03
https://www.thedrive.com/the-war-zone/31667/a-whopping-20-y-20-airlifters-seen-at-chinese-aircraft-plant-and-test-base,2019-12-30
https://www.thedrive.com/the-war-zone/31714/bunker-talk-we-have-a-lot-to-talk-about-edition,2020-01-04
https://www.thedrive.com/the-war-zone/31702/world-holds-its-breath-after-an-american-strike-in-iraq-kills-top-iranian-commander,2020-01-02
https://www.thedrive.com/the-war-zone/31697/congress-wants-an-aggressor-modernization-plan-before-adversary-f-35s-head-to-nellis,2020-01-02
https://www.thedrive.com/the-war-zone/31708/veteran-sonarman-explains-why-pump-jets-are-superior-to-props-on-modern-submarines,2020-01-03
https://www.thedrive.com/the-war-zone/31631/there-is-a-big-and-bizarre-drone-mystery-unfolding-in-rural-colorado,2019-12-26
https://www.thedrive.com/the-war-zone/31701/explosions-rock-baghdad-international-airport-as-tensions-soar-following-embassy-attack,2020-01-02
https://www.thedrive.com/the-war-zone/31651/u-s-strikes-iranian-proxy-force-bases-in-iraq-and-syria-following-deadly-rocket-attack,2019-12-29
https://www.thedrive.com/the-war-zone/31640/bunker-talk-lets-chat-about-all-the-stories-we-did-and-didnt-cover-this-week-25,2019-12-28
https://www.thedrive.com/the-war-zone/31681/kim-jong-un-ends-testing-moratorium-and-threatens-to-unveil-new-strategic-weapon,2019-12-31
https://www.thedrive.com/the-war-zone/31674/ah-64-gunships-and-extra-marines-race-to-u-s-embassy-in-iraq-after-militant-mob-attacks,2019-12-31
https://www.thedrive.com/the-war-zone/27178/air-force-wanted-to-turn-skunk-works-mach-3-capable-recon-drone-into-a-nuclear-bomber,2019-03-28
https://www.thedrive.com/the-war-zone/27121/bunker-talk-lets-chat-about-all-the-stories-we-did-and-didnt-report-on-this-week-14,2019-03-23
https://www.thedrive.com/the-war-zone/27159/this-gun-paired-with-new-6-8mm-ammunition-could-be-the-armys-next-standard-issue-rifle,2019-03-26
https://www.thedrive.com/the-war-zone/27179/exclusive-photos-future-air-force-one-747-has-left-california-to-begin-modification-in-texas,2019-03-27
https://www.thedrive.com/the-war-zone/27206/the-russians-just-did-a-fly-by-of-area-51,2019-03-29
https://www.thedrive.com/the-war-zone/27198/the-air-force-has-grounded-its-b-1b-bomber-fleet-for-the-second-time-in-a-year,2019-03-28
https://www.thedrive.com/the-war-zone/27166/navys-troubled-new-carrier-delayed-again-as-power-plant-issues-become-a-concern,2019-03-26
https://www.thedrive.com/the-war-zone/27143/russian-transport-aircraft-deliver-men-and-materiel-to-venezuela-direct-from-syria,2019-03-25
https://www.thedrive.com/the-war-zone/27144/two-interceptors-launched-from-california-to-swat-icbm-in-most-ambitious-missile-defense-test-yet,2019-03-25
https://www.thedrive.com/the-war-zone/27131/u-s-sends-navy-destroyer-and-coast-guard-cutter-through-tense-taiwan-strait,2019-03-25
https://www.thedrive.com/the-war-zone/27151/heres-whats-in-moroccoss-deal-to-buy-25-advanced-f-16s-and-upgrade-its-existing-fleet,2019-03-26
https://www.thedrive.com/the-war-zone/27197/air-force-plan-to-move-f-22-training-could-make-langley-air-force-base-raptor-central,2019-03-28
https://www.thedrive.com/the-war-zone/27167/behold-24-f-22-raptors-doing-the-elephant-walk-in-alaska-to-tout-their-readiness-to-fight,2019-03-27
https://www.thedrive.com/the-war-zone/27215/u-s-navy-turned-a-british-amphibious-ship-into-a-mine-clearing-sea-base-packed-with-drone-tech,2019-03-29
https://www.thedrive.com/the-war-zone/27170/army-to-replace-nearly-half-of-its-apache-gunships-with-future-high-speed-scout-helo,2019-03-27
https://www.thedrive.com/the-war-zone/27185/f-35s-most-sinister-capability-are-towed-decoys-that-unreel-from-inside-its-stealthy-skin,2019-03-28
https://www.thedrive.com/the-war-zone/27128/the-two-sort-of-new-air-force-one-jets-now-to-cost-nearly-the-price-of-a-nimitz-class-carrier,2019-03-24
https://www.thedrive.com/the-war-zone/24936/whats-to-come-of-the-a-10-now-that-it-has-lost-some-of-its-loudest-defenders-in-congress,2018-11-15
https://www.thedrive.com/the-war-zone/24904/this-isnt-an-early-b-2-cockpit-mockup-its-for-a-previously-undisclosed-special-ops-transport,2018-11-13
https://www.thedrive.com/the-war-zone/24972/did-this-a400m-just-upstage-the-marines-by-tracing-a-giant-dick-in-a-box-in-the-sky,2018-11-17
https://www.thedrive.com/the-war-zone/24925/marines-riding-on-cargo-ship-to-pacific-exercises-a-sign-of-a-more-flexible-deployment-strategy,2018-11-15
https://www.thedrive.com/the-war-zone/24906/russia-uses-these-crazy-antique-jet-engine-equipped-trucks-to-blast-away-chemical-agents,2018-11-13
https://www.thedrive.com/the-war-zone/24980/this-360-video-of-soldiers-flying-through-the-air-while-tethered-to-a-black-hawk-is-nuts,2018-11-18
https://www.thedrive.com/the-war-zone/24910/yet-another-usaf-t-38-talon-trainer-has-crashed-the-fifth-in-12-months,2018-11-13
https://www.thedrive.com/the-war-zone/25004/exclusive-first-images-of-new-vh-92-marine-one-helo-in-full-colors-landing-on-white-house-lawn,2018-11-19
https://www.thedrive.com/the-war-zone/24966/the-united-states-sold-egypt-this-unique-stealth-recon-drone-called-scarab-in-the-1980s,2018-11-17
https://www.thedrive.com/the-war-zone/24940/weapons-testers-at-china-lake-obliterate-everything-in-this-crazy-greatest-hits-reel,2018-11-15
https://www.thedrive.com/the-war-zone/24945/russian-cruiser-fires-odd-torpedo-tube-launched-anti-sub-missile-during-arctic-exercise,2018-11-15
https://www.thedrive.com/the-war-zone/24965/watch-this-haunting-video-of-gunner-being-buried-at-sea-in-badly-damaged-torpedo-bomber,2018-11-16
https://www.thedrive.com/the-war-zone/24946/not-a-suprise-north-korea-is-back-to-publicizing-weapons-tests-overseen-by-kim-jong-un,2018-11-15
https://www.thedrive.com/the-war-zone/24911/this-is-what-a-northrop-f-23a-wouldve-looked-like-if-lockheed-lost-the-atf-competition,2018-11-14
https://www.thedrive.com/the-war-zone/24953/star-wars-dod-execs-and-the-usaf-are-already-battling-over-a-non-existent-space-force-budget,2018-11-16
https://www.thedrive.com/the-war-zone/24967/argentinas-lost-submarine-has-finally-been-found,2018-11-17
https://www.thedrive.com/the-war-zone/29015/the-u-k-s-pint-sized-martlet-missile-will-guard-royal-navy-ships-and-much-more,2019-07-16
https://www.thedrive.com/the-war-zone/28903/u-s-fighter-jets-are-about-to-get-infrared-sensors-that-could-be-huge-for-ufo-reporting,2019-07-09
https://www.thedrive.com/the-war-zone/28940/pentagon-will-raid-f-35-spare-parts-budget-to-help-pay-for-kicking-turkey-out-of-the-program,2019-07-11
https://www.thedrive.com/the-war-zone/28924/nearly-all-f-15es-photographed-arriving-in-middle-east-carried-dragons-eye-radar-pods,2019-07-10
https://www.thedrive.com/the-war-zone/28900/royal-navy-frigate-escorts-u-k-tanker-out-of-the-persian-gulf-after-iranian-threats,2019-07-09
https://www.thedrive.com/the-war-zone/28999/heres-how-north-korea-got-kim-jong-un-his-new-armored-s600-mercedes-maybach-limos,2019-07-16
https://www.thedrive.com/the-war-zone/28950/this-overview-of-nasas-sr-71-blackbird-is-a-must-watch,2019-07-12
https://www.thedrive.com/the-war-zone/28905/the-wreck-of-this-sunken-one-of-a-kind-soviet-nuclear-sub-is-leaking-radiation,2019-07-09
https://www.thedrive.com/the-war-zone/28952/bunker-talk-lets-chat-about-all-the-stories-we-did-and-didnt-cover-this-week-3,2019-07-13
https://www.thedrive.com/the-war-zone/28933/you-can-buy-one-of-the-armys-most-capable-ships-as-the-service-guts-its-naval-fleets,2019-07-11
https://www.thedrive.com/the-war-zone/28923/ac-130j-ghostrider-gunships-have-flown-their-very-first-combat-missions,2019-07-10
https://www.thedrive.com/the-war-zone/28992/the-afghan-air-force-just-cant-quit-the-hind-gunship,2019-07-15
https://www.thedrive.com/the-war-zone/28949/france-launches-the-first-of-its-new-class-of-super-quiet-barracuda-attack-submarines,2019-07-13
https://www.thedrive.com/the-war-zone/28944/qatar-to-get-amraam-er-equipped-surface-to-air-missile-system-u-s-capital-may-be-next,2019-07-12
https://www.thedrive.com/the-war-zone/28947/turkeys-newly-delivered-s-400-air-defense-system-threatens-to-shoot-down-relations-with-u-s,2019-07-12
https://www.thedrive.com/the-war-zone/28976/italian-cops-raid-neo-fascists-and-find-air-to-air-missile-that-france-had-sold-to-qatar,2019-07-15
https://www.thedrive.com/the-war-zone/28912/one-company-wants-to-put-a-new-spin-on-how-to-yank-downed-pilots-out-of-enemy-territory,2019-07-10
https://www.thedrive.com/the-war-zone/21973/f-15s-boarding-ladder-deployed-accidentally-during-4th-of-july-flyover,2018-07-05
https://www.thedrive.com/the-war-zone/22040/u-s-secretary-of-state-rides-in-gun-toting-embassy-air-helicopter-in-afghanistan,2018-07-09
https://www.thedrive.com/the-war-zone/21996/red-bull-definitely-didnt-give-wings-to-the-crew-of-this-air-force-mc-12w-spy-plane,2018-07-06
https://www.thedrive.com/the-war-zone/22032/wondering-about-those-wedge-shaped-fighter-jets-over-tucson-heres-your-answer,2018-07-09
https://www.thedrive.com/the-war-zone/21966/saudis-have-mysterious-armored-semis-that-look-straight-out-of-a-dated-action-flick,2018-07-05
https://www.thedrive.com/the-war-zone/21936/check-out-these-sweet-aerial-photos-from-the-royal-air-forces-centenary-flypast-rehearsal,2018-07-03
https://www.thedrive.com/the-war-zone/22018/draken-begins-assembly-of-first-mirage-f1m-destined-for-advanced-aggressor-duty,2018-07-08
